Entry Date,Entry Price,Exit Date,Exit Price,Divergence Start Date,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Type,Signal Open Price
2022-08-28,5.0,2023-01-29,5.29,2022-08-07,Buy,22 Weeks,5.8%,Rise by 9.5%,295.53%,Normal Case,
2022-09-18,5.12,2023-01-29,5.29,2022-09-11,Buy,19 Weeks,3.32%,Rise by 6.93%,298.85%,Normal Case,
2022-09-25,5.0,2023-01-29,5.29,2022-06-26,Buy,18 Weeks,5.8%,Rise by 9.5%,304.65%,Local Extrema Case,
2022-09-25,5.0,2023-01-29,5.29,2022-09-18,Buy,18 Weeks,5.8%,Rise by 9.5%,310.45%,Normal Case,
2022-10-09,4.75,2023-01-29,5.29,2022-07-31,Buy,16 Weeks,11.37%,Rise by 15.26%,321.81%,Local Extrema Case,
2022-11-06,4.74,2023-01-29,5.29,2022-10-30,Buy,12 Weeks,11.6%,Rise by 15.51%,333.42%,Normal Case,
2022-12-11,5.05,2023-02-26,5.37,2022-12-04,Buy,11 Weeks,6.34%,Rise by 8.42%,339.75%,Normal Case,
2022-12-18,5.095,2023-02-26,5.37,2022-12-11,Buy,10 Weeks,5.4%,Rise by 7.46%,345.15%,Normal Case,
2022-12-25,5.08,2023-02-26,5.37,2022-12-18,Buy,9 Weeks,5.71%,Rise by 7.78%,350.86%,Normal Case,
2023-03-05,5.365,2023-05-28,5.35,2023-02-26,Buy,12 Weeks,-0.28%,Rise by 4.38%,350.58%,Normal Case,
2023-04-30,5.46,2023-07-16,5.55,2023-04-23,Buy,11 Weeks,1.65%,Rise by 2.56%,352.23%,Normal Case,
2023-05-07,5.35,2023-07-16,5.55,2023-04-30,Buy,10 Weeks,3.74%,Rise by 4.67%,355.97%,Normal Case,
2023-08-06,5.58,2024-02-11,5.61,2023-07-30,Buy,27 Weeks,0.54%,Rise by -13.08%,356.5%,Normal Case,
2023-09-24,5.26,2024-02-11,5.61,2023-09-17,Buy,20 Weeks,6.65%,Rise by 6.65%,363.16%,Normal Case,
2024-01-07,5.555,2024-03-24,5.94,2023-12-24,Buy,11 Weeks,6.93%,Rise by 7.29%,370.09%,Normal Case,
2024-01-14,5.61,2024-03-24,5.94,2023-12-31,Buy,10 Weeks,5.88%,Rise by 6.24%,375.97%,Normal Case,
2024-03-10,5.96,2024-06-16,6.37,2024-03-03,Buy,14 Weeks,6.88%,Rise by 13.42%,382.85%,Normal Case,
2024-04-07,5.91,2024-06-16,6.37,2024-03-31,Buy,10 Weeks,7.78%,Rise by 14.38%,390.63%,Normal Case,
2024-04-14,5.71,2024-06-16,6.37,2024-03-24,Buy,9 Weeks,11.56%,Rise by 18.39%,402.19%,Normal Case,
2024-04-28,5.915,2024-08-04,6.52,2024-04-14,Buy,14 Weeks,10.23%,Rise by 16.48%,412.42%,Normal Case,
2024-06-02,6.76,2024-08-04,6.52,2024-05-26,Buy,9 Weeks,-3.55%,Rise by 1.92%,408.87%,Normal Case,
2024-07-07,6.55,2024-12-15,5.72,2024-06-30,Buy,23 Weeks,-12.67%,Rise by -10.69%,396.2%,Normal Case,
2024-07-21,6.89,2024-12-15,5.72,2024-07-14,Buy,21 Weeks,-16.98%,Rise by -11.61%,379.22%,Normal Case,
2024-08-11,6.22,2024-12-15,5.72,2024-04-21,Buy,18 Weeks,-8.04%,Rise by -0.16%,371.18%,Local Extrema Case,
2024-10-27,5.92,2025-03-09,5.41,2024-10-20,Buy,19 Weeks,-8.61%,Rise by 2.2%,362.56%,Normal Case,
2024-11-03,5.87,2025-03-09,5.41,2024-10-27,Buy,18 Weeks,-7.84%,Rise by 3.07%,354.73%,Normal Case,
2024-11-24,5.88,2025-03-09,5.41,2016-04-24,Buy,15 Weeks,-7.99%,Rise by 2.89%,346.74%,Tangent Case,
2024-12-22,5.88,2025-03-09,5.41,2024-12-15,Buy,11 Weeks,-7.99%,Rise by 2.89%,338.74%,Normal Case,
2025-01-05,5.87,2025-03-09,5.41,2024-12-29,Buy,9 Weeks,-7.84%,Rise by 0.0%,330.91%,Normal Case,
2025-01-19,6.04,2025-04-27,5.68,2025-01-12,Buy,14 Weeks,-5.96%,Rise by -10.43%,324.95%,Normal Case,
2025-02-02,5.9,2025-04-27,5.68,2025-01-26,Buy,12 Weeks,-3.73%,Rise by -0.51%,321.22%,Normal Case,
2025-02-09,5.91,2025-04-27,5.68,2025-02-02,Buy,11 Weeks,-3.89%,Rise by -0.68%,317.32%,Normal Case,
2025-03-16,5.48,2025-06-08,5.86,2025-03-09,Buy,12 Weeks,6.93%,Rise by 7.12%,324.26%,Normal Case,
2025-04-06,5.76,2025-06-08,5.86,2025-03-30,Buy,9 Weeks,1.74%,Rise by 1.91%,326.0%,Normal Case,
2025-04-13,5.78,2025-07-06,5.855,2025-04-06,Buy,12 Weeks,1.3%,Rise by 1.56%,327.29%,Normal Case,
2025-05-25,5.7,2025-07-27,5.78,2025-05-18,Buy,9 Weeks,1.4%,Rise by 3.86%,328.7%,Normal Case,
2025-08-10,5.6,2025-10-26,5.9,2016-05-22,Buy,11 Weeks,5.36%,Rise by 5.71%,334.05%,Tangent Case,
2025-09-07,5.75,2025-09-07,5.75,2025-08-31,Buy,0 Weeks,0.0%,Rise by 0%,334.05%,Normal Case,
2025-10-12,5.98,2025-10-12,5.98,2025-10-05,Buy,0 Weeks,0.0%,Rise by 0%,334.05%,Normal Case,
