Function,Symbol,Signal,Interval,Entry Date,Entry Price,Exit Date,Exit Price,Today price,Realised/Unrealised Profit,Holding Period,Status,Backtested Win Rate [%]
TRENDPULSE,TLT,Long,Weekly,2026-02-15,89.7,,,90.82,1.2486%,,Open,75.0
TRENDPULSE,CNR.TO,Long,Weekly,2026-02-15,146.42,,,153.07,4.5417%,,Open,88.0
TRENDPULSE,WMT,Long,Weekly,2026-02-15,133.89,,,127.95,-4.4365%,,Open,91.3
TRENDPULSE,MAR,Long,Weekly,2026-02-15,353.89,,,341.73,-3.4361%,,Open,85.71
TRENDPULSE,GNE.NZ,Long,Weekly,2026-02-15,2.47,,,2.29,-7.2874%,,Open,88.24
DELTADRIFT,ORCL,Long,Weekly,2026-02-15,160.14,,,145.4,-9.2044%,,Open,75.0
TRENDPULSE,EWJ,Long,Weekly,2026-02-15,93.85,,,92.37,-1.5770%,,Open,80.0
TRENDPULSE,SJ.TO,Long,Weekly,2026-02-15,98.78,,,93.61,-5.2339%,,Open,84.62
TRENDPULSE,PG,Long,Weekly,2026-02-15,160.07,,,167.2,4.4543%,,Open,100.0
FRACTAL TRACK,NA.TO,Long,Weekly,2026-02-15,174.78,,,190.37,8.9198%,,Open,100.0
TRENDPULSE,SJ.TO,Long,Weekly,2026-02-13,98.78,,,93.61,-5.2339%,,Open,84.62
TRENDPULSE,PPH,Long,Daily,2026-02-13,111.19,,,111.7,0.4587%,,Open,100.0
SIGMASHELL,TRI.TO,Long,Daily,2026-02-13,118.45,,,131.33,10.8738%,,Open,90.0
TRENDPULSE,GNE.NZ,Long,Weekly,2026-02-13,2.47,,,2.29,-7.2874%,,Open,88.24
TRENDPULSE,EWJ,Long,Weekly,2026-02-13,93.85,,,92.37,-1.5770%,,Open,80.0
DELTADRIFT,ORCL,Long,Weekly,2026-02-13,160.14,,,145.4,-9.2044%,,Open,75.0
TRENDPULSE,MAR,Long,Weekly,2026-02-13,353.89,,,341.73,-3.4361%,,Open,85.71
DELTADRIFT,CNU.NZ,Long,Daily,2026-02-13,9.13,2026-02-19,9.51,9.51,4.1621%,6.0,Closed,81.25
BASELINEDIVERGENCE,NVDA,Long,Weekly,2026-02-13,182.81,,,177.19,-3.0742%,,Open,83.7
TRENDPULSE,ATD.TO,Long,Weekly,2026-02-13,83.86,,,82.78,-1.2879%,,Open,90.0
TRENDPULSE,PG,Long,Weekly,2026-02-13,160.07,,,167.2,4.4543%,,Open,100.0
TRENDPULSE,CNR.TO,Long,Weekly,2026-02-13,146.42,,,153.07,4.5417%,,Open,88.0
TRENDPULSE,WMT,Long,Weekly,2026-02-13,133.89,,,127.95,-4.4365%,,Open,91.3
TRENDPULSE,MEL.NZ,Long,Weekly,2026-02-13,5.76,,,5.66,-1.7361%,,Open,100.0
FRACTAL TRACK,NA.TO,Long,Weekly,2026-02-13,174.78,,,190.37,8.9198%,,Open,100.0
TRENDPULSE,PFE,Long,Weekly,2026-02-13,27.58,,,27.65,0.2538%,,Open,73.08
TRENDPULSE,MX.TO,Long,Weekly,2026-02-13,66.46,,,68.82,3.5510%,,Open,82.61
TRENDPULSE,BTI,Long,Daily,2026-02-12,60.745,2026-02-25,63.03,63.03,3.7616%,13.0,Closed,100.0
TRENDPULSE,BTI,Long,Daily,2026-02-12,60.61,2026-02-25,63.03,63.03,3.9927%,13.0,Closed,100.0
FRACTAL TRACK,GS,Long,Daily,2026-02-12,917.485,,,859.57,-6.3124%,,Open,100.0
TRENDPULSE,IFT.NZ,Long,Daily,2026-02-12,11.3,,,11.22,-0.7080%,,Open,96.15
DELTADRIFT,COIN,Long,Daily,2026-02-12,143.325,,,175.85,22.6932%,,Open,88.89
BAND MATRIX,GOOG,Long,Daily,2026-02-11,312.03,,,311.43,-0.1923%,,Open,80.0
DELTADRIFT,FSF.NZ,Long,Daily,2026-02-11,7.94,2026-02-19,8.028,8.028,1.1083%,8.0,Closed,91.67
TRENDPULSE,XLU,Long,Daily,2026-02-11,44.495,,,47.73,7.2705%,,Open,85.19
DELTADRIFT,PLTR,Long,Daily,2026-02-11,134.46,,,137.19,2.0303%,,Open,88.89
TRENDPULSE,ATD.TO,Long,Daily,2026-02-11,83.05,2026-02-24,84.36,84.36,1.5774%,13.0,Closed,100.0
TRENDPULSE,TLT,Long,Daily,2026-02-11,88.06,2026-02-18,89.53,89.53,1.6693%,7.0,Closed,78.95
TRENDPULSE,ATD.TO,Long,Daily,2026-02-11,82.51,2026-02-24,84.36,84.36,2.2422%,13.0,Closed,100.0
DELTADRIFT,AMZN,Long,Daily,2026-02-11,203.88,,,210.0,3.0018%,,Open,80.0
BAND MATRIX,AMZN,Long,Daily,2026-02-11,204.4238,,,210.0,2.7278%,,Open,77.78
DELTADRIFT,MSFT,Long,Daily,2026-02-11,404.89,,,392.74,-3.0008%,,Open,75.0
DELTADRIFT,TCEHY,Long,Daily,2026-02-10,70.67,,,65.6,-7.1742%,,Open,77.78
OSCILLATOR DELTA,TRI.TO,Long,Daily,2026-02-10,123.17,,,131.33,6.6250%,,Open,78.57
