Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/Moving Avg) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/Moving Avg) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
FRACTAL TRACK,"IFT.NZ, Long, 2025-11-26 (Price: 11.44)",No Exit Yet,"0.0%, 0 days","100.0%, Past 31 years, 6","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 9.13 prior to 2025-12-31,"2025-11-26 (Price: 11.44), 0.0% below",0 days,No Information,No Information,No Information,"38.2% (Price: 9.2141), 24.16% above, Upmove Bounce Back","2016-12-31 (Price: 2.5393), 2024-12-31 (Price: 13.34)",No Information,103.41%/23.86%/63.63%,"-0.0%, 22.42%",2.7 years/2.0 year/2.4 years,2029-10-12/2028-09-29/2029-04-05,13.15%,12.57%,0.58%,0.46,0.51,13.164/18.7193/17.92/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No Moving Avg Target,No Recent Minima/No Horizontal Support/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No Moving Avg Support,92.31%/13/4.7 years (Across ALL Assets),69.23%/13/9.3 months (Across ALL Assets)
FRACTAL TRACK,"BDGI.TO, Long, 2025-11-26 (Price: 71.1)",No Exit Yet,"0.0%, 0 days","100.0%, Past 33 years, 6","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 33.62 prior to 2025-12-31,"2025-11-26 (Price: 71.1), 0.0% below",0 days,No Information,No Information,No Information,"61.8% (Price: 33.6027), 111.59% above, Upmove Bounce Back","2022-03-31 (Price: 22.54), 2024-03-31 (Price: 51.5)",No Information,35.15%/35.15%/35.15%,"-0.0%, 52.34%",3.1 years/3.1 years/3.1 years,2030-04-18/2030-04-18/2030-04-18,7.18%,12.22%,-5.04%,0.42,0.42,74.5981/96.0916/88.48/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No Moving Avg Target,No Recent Minima/No Horizontal Support/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No Moving Avg Support,92.31%/13/4.7 years (Across ALL Assets),69.23%/13/9.3 months (Across ALL Assets)
TRENDPULSE,"GOOG, Long, 2025-11-26 (Price: 323.64)",No Exit Yet,"0.0%, 0 days","100.0%, Past 10 years, 26","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 311.01 prior to 2025-11-28,"2025-11-25 (Price: 323.64), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,8.01% above/0.0% below/0.0% below,19.02%/3.15%/8.18%,"-0.0%, 15.08%",4.3 months/24 days/1.6 month,2026-05-31/2025-12-30/2026-02-02,35.83%,21.1%,14.73%,1.74,0.79,357.1044/350.1138/417.37/No Horizontal Resistance/306.4481/330.6546/No Moving Avg Target,147.74/84.51/243.1061/191.2921/270.6509/234.996/201.86,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
TRENDPULSE,"HDFCBANK.NS, Long, 2025-11-26 (Price: 1003.45)",No Exit Yet,"0.0%, 0 days","90.0%, Past 20 years, 20","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 985.0 prior to 2025-11-28,"2025-11-26 (Price: 1003.45), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,0.0% below/0.0% below/0.0% below,54.15%/5.97%/24.32%,"11.13%, 17.76%",9.4 months/3.6 months/6.6 months,2027-01-08/2026-04-29/2026-09-10,15.97%,19.29%,-3.32%,0.9,0.75,1129.985/1247.489/1173.27/1004.15/1299.7536/1565.406/No Moving Avg Target,701.7/640.9/976.4995/762.8018/940.3577/891.107/955.24,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
TRENDPULSE,"XIU.TO, Long, 2025-11-26 (Price: 45.86)",No Exit Yet,"0.0%, 0 days","87.5%, Past 20 years, 16","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 45.4507 prior to 2025-11-28,"2025-11-25 (Price: 45.86), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,2.43% above/0.0% below/0.0% below,13.41%/2.94%/9.31%,"6.95%, 19.49%",10.1 months/2.8 months/4.8 months,2027-02-09/2026-03-27/2026-06-22,8.8%,4.94%,3.87%,0.91,0.11,48.7354/50.1296/55.57/No Horizontal Resistance/48.3988/56.9776/No Moving Avg Target,28.76/27.9467/41.5586/34.9694/41.6227/38.9081/40.92,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
TRENDPULSE,"IEI, Long, 2025-11-26 (Price: 120.35)",No Exit Yet,"0.0%, 0 days","91.67%, Past 20 years, 12","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 119.3 prior to 2025-11-28,"2025-11-25 (Price: 120.35), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,0.0% below/0.0% below/0.0% below,2.72%/1.13%/1.87%,"15.13%, 15.6%",1.1 year/3.6 months/7.6 months,2027-06-15/2026-05-02/2026-10-22,0.4%,0.95%,-0.55%,0.05,-0.88,122.071/122.6005/120.79/129.9625/No Next Fib Ext/No Next Fib Ext/No Moving Avg Target,112.29/113.0583/No F-Stack Support/No F-Stack Support/139.4714/142.7661/118.49,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
TRENDPULSE,"SOXX, Long, 2025-11-26 (Price: 283.58)",No Exit Yet,"0.0%, 0 days","100.0%, Past 24 years, 9","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 269.38 prior to 2025-12-31,"2025-11-25 (Price: 283.58), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,0.0% below/0.0% below/0.0% below,74.51%/31.99%/42.95%,"-0.0%, 41.23%",2.4 years/10.8 months/1.1 year,2029-04-05/2027-03-10/2027-06-28,17.9%,12.73%,5.17%,1.39,0.46,343.9258/405.3776/435.31/No Horizontal Resistance/320.8469/358.5021/No Moving Avg Target,106.24/110.475/267.2317/244.4067/273.874/249.9586/235.15,86.67%/15/1.7 year (Across ALL Assets),100.0%/1/5.2 months (Across ALL Assets)
FRACTAL TRACK,"META, Short, 2025-11-26 (Price: 636.22)",No Exit Yet,"-0.0%, 0 days","100.0%, Past 13 years, 5","Monthly, was CONFIRMED on 2025-11-07",No Cancellation Possible,"2025-11-26 (Price: 636.22), 0.0% below",0 days,No Information,No Information,No Information,"23.66% (Price: 628.6993), 1.2% above, Upmove Break Below","2022-11-30 (Price: 88.09), 2025-08-31 (Price: 796.25)",No Information,32.63%/3.19%/11.97%,"-0.0%, 32.63%",2.2 months/20 days/1.2 month,2026-02-28/2025-12-24/2026-01-18,94.49%,5.3%,89.19%,0.68,0.8,568.6534/560.0645/211.32/280.19/627.6205/591.2141/No Moving Avg Target,773.44/280.19/627.6205/591.2141/628.6993/525.7329/673.87,85.71%/7/1.5 month (Across ALL Assets),38.89%/18/2.4 months (Across ALL Assets)
FRACTAL TRACK,"SFTBY, Short, 2025-11-26 (Price: 50.04)",No Exit Yet,"-0.0%, 0 days","100.0%, Past 13 years, 4","Quarterly, was CONFIRMED on None",No Cancellation Possible,"2025-11-26 (Price: 50.04), 0.0% below",0 days,No Information,No Information,No Information,"50.0% (Price: 53.39), 6.27% below, Upmove Break Below","2022-06-30 (Price: 16.78), 2025-11-26 (Price: 90.0)",No Information,22.05%/16.72%/18.57%,"0%, 22.05%",6.5 months/2.2 months/3.3 months,2026-09-04/2026-02-28/2026-04-16,14.54%,5.4%,9.14%,7.65,0.48,53.9331/40.7476/6.11/16.82/48.0625/43.9946/42.89,63.3/16.82/48.0625/43.9946/44.75/32.4491/No Moving Avg Support,0.0%/1/3 months (Across ALL Assets),53.33%/15/3.1 months (Across ALL Assets)
FRACTAL TRACK,"KWEB, Short, 2025-11-26 (Price: 37.74)",No Exit Yet,"-0.0%, 0 days","88.89%, Past 12 years, 9","Monthly, was CONFIRMED on 2025-11-20",No Cancellation Possible,"2025-11-26 (Price: 37.74), 0.0% below",0 days,No Information,No Information,No Information,"23.66% (Price: 37.1791), 1.51% above, Upmove Break Below","2022-10-31 (Price: 17.22), 2025-10-31 (Price: 43.365)",No Information,10.4%/3.11%/6.98%,"19.33%, 16.82%",2.2 months/21 days/1.2 month,2026-03-01/2025-12-26/2026-01-17,21.98%,5.3%,16.68%,0.3,0.14,34.6906/35.1057/22.05/24.5062/No F-Stack Support/No F-Stack Support/36.27,42.01/24.5062/No F-Stack Support/No F-Stack Support/39.3865/41.3508/No Moving Avg Support,85.71%/7/1.5 month (Across ALL Assets),38.89%/18/2.4 months (Across ALL Assets)
FRACTAL TRACK,"NFLX, Short, 2025-11-26 (Price: 104.4)",No Exit Yet,"-0.0%, 0 days","87.5%, Past 23 years, 16","Monthly, was CONFIRMED on 2025-11-24",No Cancellation Possible,"2025-11-26 (Price: 104.4), 0.0% below",0 days,No Information,No Information,No Information,"23.66% (Price: 106.2331), 1.73% below, Upmove Break Below","2022-05-31 (Price: 16.271), 2025-06-30 (Price: 134.115)",No Information,51.8%/3.55%/19.68%,"21.42%, 51.8%",2.1 months/20 days/27 days,2026-02-26/2025-12-24/2026-01-04,107.65%,5.4%,102.25%,0.58,0.92,192.2422/83.8541/33.69/34.8663/101.6781/77.3488/No Moving Avg Target,133.91/34.8663/101.6781/77.3488/106.2331/89.0986/113.34,85.71%/7/1.5 month (Across ALL Assets),38.89%/18/2.4 months (Across ALL Assets)
FRACTAL TRACK,"NFLX, Short, 2025-11-26 (Price: 104.4)",No Exit Yet,"-0.0%, 0 days","100.0%, Past 23 years, 7","Quarterly, was CONFIRMED on None",No Cancellation Possible,"2025-11-26 (Price: 104.4), 0.0% below",0 days,No Information,No Information,No Information,"23.66% (Price: 106.2331), 1.73% below, Upmove Break Below","2022-06-30 (Price: 16.271), 2025-06-30 (Price: 134.115)",No Information,57.17%/10.52%/34.09%,"-0.0%, 57.17%",2.2 months/2.2 months/2.2 months,2026-03-01/2026-02-28/2026-02-28,106.75%,5.4%,101.35%,1.28,0.89,200.7403/68.81/33.69/34.8663/101.6781/77.3488/No Moving Avg Target,133.91/34.8663/101.6781/77.3488/106.2331/89.0986/113.34,0.0%/1/3 months (Across ALL Assets),53.33%/15/3.1 months (Across ALL Assets)
FRACTAL TRACK,"RHHBY, Short, 2025-11-25 (Price: 48.63)",No Exit Yet,"-0.0%, 0 days","89.36%, Past 5 years, 47","Daily, is CONFIRMED on 2025-11-25",Already confirmed,"2025-11-25 (Price: 48.63), 0.0% below",0 days,No Information,No Information,No Information,"88.6% (Price: 45.2708), 7.42% above, Downmove Bounce Back","2025-11-25 (Price: 48.74), 2025-11-25 (Price: 48.15)",No Information,5.98%/0.06%/2.18%,"10.54%, 11.17%",14 days/1 day/4 days,2025-12-15/2025-11-26/2025-11-30,22.8%,5.1%,17.7%,0.07,-0.17,48.0805/47.5699/48.28/No Horizontal Support/No F-Stack Support/No F-Stack Support/No Moving Avg Target,No Recent Maxima/No Horizontal Support/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No Moving Avg Support,48.21%/56/7 days (Across ALL Assets),40.19%/107/15 days (Across ALL Assets)
FRACTAL TRACK,"SPOT, Short, 2025-11-23 (Price: 583.61)",No Exit Yet,"-0.32%, 2 days","87.5%, Past 7 years, 16","Weekly, was CONFIRMED on 2025-11-23",Already confirmed,"2025-11-26 (Price: 585.47), 0.32% above",2 days,No Information,No Information,No Information,"23.66% (Price: 615.6618), 4.9% below, Upmove Break Below","2022-11-06 (Price: 69.285), 2025-06-29 (Price: 785.0)",No Information,11.53%/3.99%/7.19%,"16.98%, 11.53%",1.1 month/4 days/9 days,2026-01-11/2025-11-28/2025-12-06,38.54%,5.2%,33.34%,0.12,0.66,576.7234/541.6484/154.18/No Horizontal Support/No F-Stack Support/No F-Stack Support/No Moving Avg Target,No Recent Maxima/No Horizontal Support/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No Moving Avg Support,50.0%/6/1.1 month (Across ALL Assets),46.15%/13/24 days (Across ALL Assets)
OSCILLATOR DELTA,"BRK-B, Short, 2025-11-19 (Price: 501.26)",2025-11-20 (Price: 501.12),"0.03%, 1 day","89.8%, Past 6 years, 49","Daily, is Confirmed on 2025-11-19",No Cancellation Possible,"2025-11-25 (Price: 508.57), 1.46% above",4 days,No Information,No Information,No Information,No Information,No Information,No Information,4.28%/0.01%/1.05%,"4.75%, 6.36%",17 days/1 day/4 days,2025-12-13/2025-11-20/2025-11-24,25.34%,5.1%,20.24%,0.17,0.56,497.2499/495.9968/496.62/268.082/491.88/449.7662/497.18,No Recent Maxima/268.082/491.88/449.7662/No F-Track Level/No F-Track Level/No Moving Avg Support,83.33%/18/4 days (Across ALL Assets),62.86%/35/4 days (Across ALL Assets)
FRACTAL TRACK,"ETH-USD, Short, 2025-10-31 (Price: 3847.0803)",2025-11-26 (Price: 2940.1658) (Today),"23.57%, 26 days","90.0%, Past 10 years, 10","Monthly, was CONFIRMED on 2025-10-31",Already confirmed,"2025-11-26 (Price: 2940.1658), 23.57% below",26 days,No Information,No Information,No Information,"23.66% (Price: 3801.2773), 22.65% below, Upmove Break Below","2018-12-31 (Price: 82.8299), 2025-08-31 (Price: 4953.7329)",No Information,32.85%/5.87%/20.42%,"38.7%, 32.85%",1.4 month/21 days/25 days,2026-01-01/2025-11-30/2025-12-06,120.83%,5.2%,115.63%,0.39,0.97,3818.9966/3061.5065/924.54/1370.4997/3454.2267/2637.9184/3513.7,4390.02/1370.4997/3454.2267/2637.9184/No F-Track Level/No F-Track Level/No Moving Avg Support,85.71%/7/1.5 month (Across ALL Assets),38.89%/18/2.4 months (Across ALL Assets)
