"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"IFT.NZ, Long, 2025-11-12 (Price: 12.67)",2026-04-01 (Price: 11.3),"-10.81%, 4.7 months","96.43%, Past 4 years, 28","Daily, is CONFIRMED on 2025-11-12",Already confirmed,"2026-04-02 (Price: 11.48), 9.39% below",4.7 months,"2, 2025-09-12 (Price: 12.8)",2025-11-11 (Price: 12.6),2025-11-12 (Price: 12.67),142/141/141 days,8.89% below/9.39% below/9.39% below,2025-09-12 (Price: 12.8)/2025-11-12 (Price: 12.4227),9.48%/0.89%/4.42%,"10.91%, 28.9%",3.3 months/6 days/1.1 month,2026-04-04/2025-11-20/2025-12-29,15.69%,13.09%,2.6%,0.0,0.76,13.2617/13.23/12.75/No Horizontal Resistance/18.927/29.733/No EMA 200 Target,12.27/7.3167/12.2485/8.121/No F-Track Level/No F-Track Level/11.29,92.31%/325/1.3 month (Across ALL Assets),77.68%/775/1.6 month (Across ALL Assets),12.54
"XIU.TO, Long, 2025-10-31 (Price: 45.14)",2026-03-31 (Price: 48.15),"6.67%, 5 months","100.0%, Past 20 years, 14","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2026-04-02 (Price: 48.63), 7.73% above",5.1 months,"0, 2002-03-31 (Price: 11.5)",2025-08-31 (Price: 42.76),2025-10-28 (Price: 45.46),214/156/153 days,13.73% above/6.97% above/7.73% above,2002-03-31 (Price: 11.5)/2025-10-31 (Price: 41.0445),12.69%/2.94%/7.75%,"-0.0%, 19.49%",1.2 year/4 months/6.4 months,2027-07-18/2026-04-22/2026-08-05,5.69%,4.09%,1.6%,0.0,0.18,50.4981/48.6383/65.32/No Horizontal Resistance/53.8646/79.5406/No EMA 200 Target,28.76/28.5233/37.996/28.1885/No F-Track Level/No F-Track Level/40.37,90.43%/94/11 months (Across ALL Assets),65.48%/197/9.4 months (Across ALL Assets),44.75
"BNS.TO, Long, 2025-10-31 (Price: 91.99)",2026-03-31 (Price: 96.47),"4.87%, 5 months","85.71%, Past 20 years, 14","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2026-04-02 (Price: 97.64), 6.14% above",5.1 months,"0, 2022-02-28 (Price: 95.0)",2025-08-31 (Price: 85.77),2025-10-30 (Price: 91.86),214/154/153 days,13.84% above/6.29% above/6.14% above,2022-02-28 (Price: 95.0)/2025-10-31 (Price: 75.7694),24.83%/4.28%/12.97%,"30.99%, 38.87%",1.1 year/5 months/9.8 months,2027-05-27/2026-06-05/2026-12-30,2.07%,4.65%,-2.58%,0.0,0.22,96.056/103.9211/93.8/No Horizontal Resistance/92.969/100.7509/No EMA 200 Target,56.15/62.2517/69.3218/61.3348/No F-Track Level/No F-Track Level/76.35,90.43%/94/11 months (Across ALL Assets),65.48%/197/9.4 months (Across ALL Assets),90.0
"TSM, Long, 2025-10-31 (Price: 300.43)",2026-04-03 (Price: 339.04),"12.85%, 5.1 months","100.0%, Past 20 years, 21","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2026-04-02 (Price: 339.04), 12.85% above",5.1 months,"2, 2001-05-31 (Price: 12.1213)",2025-10-31 (Price: 300.43),2025-10-13 (Price: 302.89),153/171/153 days,12.85% above/11.94% above/12.85% above,2001-05-31 (Price: 12.1213)/2025-10-31 (Price: 284.8673),62.44%/6.14%/35.38%,"-0.0%, 49.81%",1.4 year/5 months/9.3 months,2027-10-29/2026-06-05/2026-12-09,9.27%,9.87%,-0.6%,0.0,0.49,400.5934/406.7221/473.42/No Horizontal Resistance/334.306/349.9895/No EMA 200 Target,166.0/83.575/274.027/233.1074/No F-Track Level/No F-Track Level/218.77,90.43%/94/11 months (Across ALL Assets),65.48%/197/9.4 months (Across ALL Assets),278.44
"PPH, Long, 2025-10-31 (Price: 92.54)",2026-03-31 (Price: 103.88),"12.25%, 5 months","80.95%, Past 20 years, 21","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2026-04-02 (Price: 104.16), 12.56% above",5.1 months,"2, 2024-09-30 (Price: 99.51)",2025-09-30 (Price: 90.36),2025-10-01 (Price: 94.26),184/183/153 days,15.27% above/10.5% above/12.56% above,2024-09-30 (Price: 99.51)/2025-10-31 (Price: 88.7495),23.15%/0.84%/10.31%,"3.25%, 39.01%",2.4 years/5 months/1.3 year,2029-04-04/2026-06-05/2027-09-08,2.65%,2.09%,0.56%,0.0,-0.03,102.2752/102.0809/96.72/No Horizontal Resistance/100.0174/110.0139/No EMA 200 Target,82.93/65.915/87.7591/70.617/No F-Track Level/No F-Track Level/88.68,90.43%/94/11 months (Across ALL Assets),65.48%/197/9.4 months (Across ALL Assets),90.84
"RY.TO, Long, 2025-10-31 (Price: 205.47)",2026-03-31 (Price: 224.88),"9.45%, 5 months","100.0%, Past 20 years, 15","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2026-04-02 (Price: 227.34), 10.64% above",5.1 months,"0, 2001-08-31 (Price: 26.625)",2025-08-31 (Price: 199.58),2025-10-31 (Price: 205.47),214/153/153 days,13.91% above/10.64% above/10.64% above,2001-08-31 (Price: 26.625)/2025-10-31 (Price: 192.005),16.93%/2.86%/11.1%,"0%, 21.22%",2.5 years/4 months/10.9 months,2029-05-26/2026-04-22/2027-02-16,5.14%,6.8%,-1.66%,0.0,0.41,229.1401/228.2772/312.78/No Horizontal Resistance/221.431/339.4883/No EMA 200 Target,162.1/118.8425/148.4673/103.3737/No F-Track Level/No F-Track Level/179.57,90.43%/94/11 months (Across ALL Assets),65.48%/197/9.4 months (Across ALL Assets),204.86
"MU, Long, 2025-10-31 (Price: 223.77)",2026-04-03 (Price: 366.24),"63.67%, 5.1 months","100.0%, Past 20 years, 9","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2026-04-02 (Price: 366.24), 63.67% above",5.1 months,"2, 2024-06-30 (Price: 157.54)",2025-09-30 (Price: 167.32),2025-10-31 (Price: 223.77),184/153/153 days,118.89% above/63.67% above/63.67% above,2024-06-30 (Price: 157.54)/2025-10-31 (Price: 120.62),251.92%/11.92%/71.48%,"-0.0%, 56.06%",2.6 years/5 months/1 year,2029-07-17/2026-06-05/2027-04-05,18.94%,5.79%,13.15%,0.0,0.36,380.3642/383.7208/263.51/No Horizontal Resistance/No Target/No Target/No EMA 200 Target,76.95/48.44/164.6637/137.5765/No F-Track Level/No F-Track Level/117.49,90.43%/94/11 months (Across ALL Assets),65.48%/197/9.4 months (Across ALL Assets),165.6
"ARM, Long, 2025-10-09 (Price: 170.66)",2026-03-31 (Price: 151.28),"-11.36%, 5.8 months","80.0%, Past 4 years, 5","Daily, is CONFIRMED on 2025-10-09",Already confirmed,"2026-04-02 (Price: 149.11), 12.63% below",5.8 months,"4, 2025-06-30 (Price: 168.31)",2025-10-07 (Price: 159.345),2025-10-09 (Price: 170.66),177/175/175 days,6.42% below/12.63% below/12.63% below,2025-06-30 (Price: 168.31)/2025-10-09 (Price: 155.5678),17.15%/3.93%/10.24%,"11.36%, 41.27%",1.8 month/10 days/26 days,2025-12-26/2025-10-23/2025-11-15,19.16%,26.86%,-7.7%,0.0,1.06,186.685/188.1356/172.07/No Horizontal Resistance/218.0854/235.5107/No EMA 200 Target,139.62/165.49/169.9022/159.9054/No F-Track Level/No F-Track Level/136.96,92.31%/325/1.3 month (Across ALL Assets),77.68%/775/1.6 month (Across ALL Assets),164.51
"ACWX, Long, 2025-09-30 (Price: 65.01)",2026-03-31 (Price: 68.47),"5.32%, 6.1 months","90.91%, Past 20 years, 11","Monthly, is CONFIRMED on 2025-09-30",Already confirmed,"2026-04-02 (Price: 68.93), 6.03% above",6.2 months,"4, 2010-01-31 (Price: 42.88)",2025-09-30 (Price: 65.01),2025-09-26 (Price: 64.39),184/188/184 days,6.03% above/7.05% above/6.03% above,2010-01-31 (Price: 42.88)/2025-09-30 (Price: 62.8759),15.1%/1.97%/6.79%,"10.07%, 26.55%",3.3 years/4.1 months/1.1 year,2030-06-16/2026-03-25/2027-04-26,1.72%,0.9%,0.82%,0.0,-0.08,69.5737/69.4242/78.29/No Horizontal Resistance/69.6679/76.9985/No EMA 200 Target,52.16/45.07/61.9685/No stop loss/No F-Track Level/No F-Track Level/58.09,90.43%/94/11 months (Across ALL Assets),65.48%/197/9.4 months (Across ALL Assets),62.0
"EEM, Long, 2025-09-30 (Price: 53.4)",2026-04-03 (Price: 56.59),"5.97%, 6.2 months","83.33%, Past 20 years, 12","Monthly, is CONFIRMED on 2025-09-30",Already confirmed,"2026-04-02 (Price: 56.59), 5.97% above",6.2 months,"4, 2004-04-30 (Price: 20.2667)",2025-09-30 (Price: 53.4),2025-09-29 (Price: 53.19),184/185/184 days,5.97% above/6.39% above/5.97% above,2004-04-30 (Price: 20.2667)/2025-09-30 (Price: 49.9376),23.15%/1.8%/11.86%,"17.13%, 38.01%",1.6 year/4 months/9 months,2028-01-12/2026-03-22/2026-10-26,2.3%,4.93%,-2.63%,0.0,0.24,62.1523/59.7332/73.28/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,36.7/37.485/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/46.03,90.43%/94/11 months (Across ALL Assets),65.48%/197/9.4 months (Across ALL Assets),49.41
"GDX, Long, 2025-09-30 (Price: 76.4)",2026-03-31 (Price: 91.77),"20.12%, 6.1 months","100.0%, Past 20 years, 11","Monthly, is CONFIRMED on 2025-09-30",Already confirmed,"2026-04-02 (Price: 94.59), 23.81% above",6.2 months,"2, 2006-09-30 (Price: 42.58)",2025-08-31 (Price: 63.17),2025-09-26 (Price: 74.68),214/188/184 days,49.74% above/26.66% above/23.81% above,2006-09-30 (Price: 42.58)/2025-09-30 (Price: 57.277),64.32%/20.12%/40.14%,"0%, 37.94%",1.5 year/6.1 months/10 months,2027-11-21/2026-06-22/2026-12-08,8.41%,3.07%,5.34%,0.0,0.19,94.3998/107.067/96.69/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,33.91/25.645/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/49.26,90.43%/94/11 months (Across ALL Assets),65.48%/197/9.4 months (Across ALL Assets),64.39
"USO, Long, 2025-06-22 (Price: 83.12)",2026-03-29 (Price: 124.2),"49.42%, 9.3 months","77.78%, Past 10 years, 18","Weekly, is CONFIRMED on 2025-06-20",Already confirmed,"2026-04-02 (Price: 137.92), 65.93% above",9.5 months,"2, 2025-01-19 (Price: 84.58)",2025-06-15 (Price: 80.22),2025-06-17 (Price: 82.3),291/289/284 days,71.93% above/67.58% above/65.93% above,2025-01-19 (Price: 84.58)/2025-06-22 (Price: 71.44),54.02%/0.56%/19.47%,"70.35%, 78.81%",1.8 year/1.2 month/7.5 months,2028-01-16/2025-08-13/2026-05-13,4.64%,-4.75%,9.39%,0.0,-0.13,No Target/99.3035/84.0/83.47/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,64.01/44.03/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/72.76,91.3%/161/4.7 months (Across ALL Assets),74.55%/389/4 months (Across ALL Assets),79.01
"BEL.NS, Long, 2025-05-31 (Price: 384.6)",2026-04-03 (Price: 421.6),"9.62%, 10.2 months","100.0%, Past 20 years, 9","Monthly, is CONFIRMED on 2025-05-31",Already confirmed,"2026-04-02 (Price: 421.6), 9.62% above",10.2 months,"2, 2024-07-31 (Price: 340.5)",2025-04-30 (Price: 314.1),2025-05-09 (Price: 315.85),337/328/306 days,34.22% above/33.48% above/9.62% above,2024-07-31 (Price: 340.5)/2025-05-31 (Price: 301.2),70.01%/23.77%/55.76%,"-0.0%, 18.14%",8.1 months/4.1 months/6.3 months,2026-05-17/2025-11-23/2026-02-28,21.4%,17.05%,4.35%,0.0,0.77,697.6259/599.053/411.06/No Horizontal Resistance/No Target/456.8119/No EMA 200 Target,246.25/39.05/287.8162/240.2858/No F-Track Level/No F-Track Level/293.59,90.43%/94/11 months (Across ALL Assets),65.48%/197/9.4 months (Across ALL Assets),310.8
"JPM, Long, 2025-03-31 (Price: 245.3)",2026-04-03 (Price: 294.6),"20.1%, 1 year","100.0%, Past 45 years, 6","Quarterly, is CONFIRMED on 2025-03-31",Already confirmed,"2026-04-02 (Price: 294.6), 20.1% above",1 year,"2, 1981-06-30 (Price: 9.3333)",2024-12-31 (Price: 239.71),2025-03-27 (Price: 248.12),457/371/367 days,22.9% above/18.73% above/20.1% above,1981-06-30 (Price: 9.3333)/2025-03-31 (Price: 219.4393),54.11%/10.04%/23.18%,"-0.0%, 36.16%",3.6 years/1.5 year/2 years,2030-05-21/2027-05-22/2028-02-06,5.27%,6.11%,-0.84%,0.0,0.31,288.4483/302.1605/386.88/No Horizontal Resistance/275.691/287.5071/No EMA 200 Target,104.5/91.08/208.1524/186.1217/No F-Track Level/No F-Track Level/230.23,100.0%/18/2.6 years (Across ALL Assets),0.0%/3/4.1 months (Across ALL Assets),240.92
"WIPRO.NS, Long, 2025-01-31 (Price: 311.9)",2026-04-03 (Price: 194.91),"-37.51%, 1.2 year","84.62%, Past 20 years, 13","Monthly, is CONFIRMED on 2025-01-31",Already confirmed,"2026-04-02 (Price: 194.91), 37.51% below",1.2 year,"0, 2021-10-31 (Price: 369.925)",2024-11-30 (Price: 288.925),2025-01-31 (Price: 311.9),488/426/426 days,32.54% below/37.51% below/37.51% below,2021-10-31 (Price: 369.925)/2025-01-31 (Price: 275.4091),53.38%/8.01%/27.84%,"4.58%, 19.65%",9.1 months/5 months/6.9 months,2026-03-02/2025-09-05/2025-11-26,9.14%,5.63%,3.51%,0.0,0.29,389.875/398.733/346.71/366.6625/412.2037/473.5829/No EMA 200 Target,182.62/188.255/310.4864/268.1339/No F-Track Level/No F-Track Level/266.85,90.43%/94/11 months (Across ALL Assets),65.48%/197/9.4 months (Across ALL Assets),300.0
"USO, Long, 2025-01-12 (Price: 80.64)",2026-03-29 (Price: 124.2),"54.02%, 1.2 year","77.78%, Past 10 years, 18","Weekly, is CONFIRMED on 2025-01-10",Already confirmed,"2026-04-02 (Price: 137.92), 71.03% above",1.2 year,"2, 2015-02-08 (Price: 162.32)",2025-01-12 (Price: 80.64),2025-01-10 (Price: 80.64),445/447/445 days,71.03% above/71.03% above/71.03% above,2015-02-08 (Price: 162.32)/2025-01-12 (Price: 77.5647),54.02%/0.56%/19.47%,"70.35%, 78.81%",1.8 year/1.2 month/7.5 months,2027-08-08/2025-03-05/2025-12-03,4.64%,-4.75%,9.39%,0.0,-0.13,No Target/96.3406/129.65/83.1/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,69.75/44.03/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/75.38,91.3%/161/4.7 months (Across ALL Assets),74.55%/389/4 months (Across ALL Assets),78.43
"AMZN, Long, 2024-12-31 (Price: 219.39)",2026-03-31 (Price: 208.27),"-5.07%, 1.3 year","86.67%, Past 20 years, 15","Monthly, is CONFIRMED on 2024-12-31",Already confirmed,"2026-04-02 (Price: 209.77), 4.38% below",1.3 year,"0, 2020-09-30 (Price: 177.6125)",2024-11-30 (Price: 207.89),2024-12-31 (Price: 219.39),488/457/457 days,0.9% above/4.38% below/4.38% below,2020-09-30 (Price: 177.6125)/2024-12-31 (Price: 203.7639),51.52%/19.23%/30.47%,"5.07%, 23.74%",1.8 year/6.1 months/11.9 months,2027-07-27/2025-09-22/2026-06-01,15.09%,16.91%,-1.82%,0.0,0.76,276.8921/286.2381/244.46/No Horizontal Resistance/No Target/231.81/No EMA 200 Target,84.0/81.3658/193.0625/132.2674/No F-Track Level/No F-Track Level/189.74,90.43%/94/11 months (Across ALL Assets),65.48%/197/9.4 months (Across ALL Assets),209.96
"TSLA, Long, 2024-12-31 (Price: 403.84)",2026-04-03 (Price: 360.59),"-10.71%, 1.3 year","83.33%, Past 20 years, 6","Monthly, is CONFIRMED on 2024-12-31",Already confirmed,"2026-04-02 (Price: 360.59), 10.71% below",1.3 year,"0, 2021-11-30 (Price: 414.4967)",2024-11-30 (Price: 345.16),2024-12-04 (Price: 357.93),488/484/457 days,4.47% above/0.74% above/10.71% below,2021-11-30 (Price: 414.4967)/2024-12-31 (Price: 248.5786),24.23%/7.79%/18.75%,"2.38%, 35.95%",1.9 year/8.2 months/1.1 year,2027-09-17/2025-12-20/2026-07-27,26.58%,27.35%,-0.77%,0.0,1.0,1013.1942/479.56/410.23/408.5817/541.282/564.9603/No EMA 200 Target,175.79/167.4534/353.8797/223.4247/No F-Track Level/No F-Track Level/238.84,90.43%/94/11 months (Across ALL Assets),65.48%/197/9.4 months (Across ALL Assets),352.38
"TSLA, Long, 2024-12-31 (Price: 403.84)",2026-04-03 (Price: 360.59),"-10.71%, 1.3 year","100.0%, Past 15 years, 4","Quarterly, is CONFIRMED on 2024-12-31",Already confirmed,"2026-04-02 (Price: 360.59), 10.71% below",1.3 year,"2, 2021-12-31 (Price: 414.4967)",2024-12-31 (Price: 403.84),2024-11-06 (Price: 288.53),457/512/457 days,10.71% below/24.97% above/10.71% below,2021-12-31 (Price: 414.4967)/2024-12-31 (Price: 216.9995),548.64%/548.64%/548.64%,"-0.0%, 38.2%",1.3 year/1.3 year/1.3 year,2026-11-08 (Max),48.16%,27.35%,20.81%,0.0,0.87,1350.8448/2619.4678/410.23/408.5817/541.282/564.9603/No EMA 200 Target,123.18/167.4534/353.8797/223.4247/No F-Track Level/No F-Track Level/238.84,100.0%/18/2.6 years (Across ALL Assets),0.0%/3/4.1 months (Across ALL Assets),262.67
"WIPRO.NS, Long, 2024-10-31 (Price: 275.9)",2026-04-03 (Price: 194.91),"-29.35%, 1.4 year","84.62%, Past 20 years, 13","Monthly, is CONFIRMED on 2024-10-31",Already confirmed,"2026-04-02 (Price: 194.91), 29.35% below",1.4 year,"0, 2021-10-31 (Price: 369.925)",2024-08-31 (Price: 269.2),2024-10-31 (Price: 275.9),579/518/518 days,27.6% below/29.35% below/29.35% below,2021-10-31 (Price: 369.925)/2024-10-31 (Price: 245.2429),53.38%/8.01%/27.84%,"4.58%, 19.65%",9.1 months/5 months/6.9 months,2025-11-30/2025-06-05/2025-08-26,9.14%,5.63%,3.51%,0.0,0.29,344.875/352.7106/332.31/366.6625/412.2037/473.5829/No EMA 200 Target,182.62/188.255/268.1339/216.7036/No F-Track Level/No F-Track Level/251.49,90.43%/94/11 months (Across ALL Assets),65.48%/197/9.4 months (Across ALL Assets),270.1
"IFT.NZ, Long, 2024-10-31 (Price: 12.6)",2026-03-31 (Price: 11.65),"-7.54%, 1.4 year","91.67%, Past 20 years, 12","Monthly, is CONFIRMED on 2024-10-31",Already confirmed,"2026-04-02 (Price: 11.48), 8.89% below",1.4 year,"0, 2000-09-30 (Price: 0.6179)",2024-09-30 (Price: 12.25),2024-10-21 (Price: 12.47),549/528/518 days,6.29% below/7.94% below/8.89% below,2000-09-30 (Price: 0.6179)/2024-10-31 (Price: 11.7594),20.0%/3.04%/10.14%,"7.54%, 19.22%",1.3 year/5 months/9.7 months,2026-09-08/2025-06-05/2025-12-26,5.0%,8.46%,-3.46%,0.0,0.5,14.044/13.8776/19.79/No Horizontal Resistance/18.927/29.733/No EMA 200 Target,3.91/7.3167/12.2485/8.121/No F-Track Level/No F-Track Level/11.07,90.43%/94/11 months (Across ALL Assets),65.48%/197/9.4 months (Across ALL Assets),12.315
"WIPRO.NS, Long, 2024-08-31 (Price: 269.2)",2026-04-03 (Price: 194.91),"-27.6%, 1.6 year","84.62%, Past 20 years, 13","Monthly, is CONFIRMED on 2024-08-31",Already confirmed,"2026-04-02 (Price: 194.91), 27.6% below",1.6 year,"0, 2021-10-31 (Price: 369.925)",2024-08-31 (Price: 269.2),2024-08-30 (Price: 269.2),579/580/579 days,27.6% below/27.6% below/27.6% below,2021-10-31 (Price: 369.925)/2024-08-31 (Price: 252.1696),53.38%/8.01%/27.84%,"4.58%, 19.65%",9.1 months/5 months/6.9 months,2025-09-30/2025-04-05/2025-06-26,9.14%,5.63%,3.51%,0.0,0.29,336.5/344.1453/329.63/366.6625/412.2037/473.5829/No EMA 200 Target,182.62/129.8375/268.1339/216.7036/No F-Track Level/No F-Track Level/239.08,90.43%/94/11 months (Across ALL Assets),65.48%/197/9.4 months (Across ALL Assets),261.5
"INFY, Long, 2024-08-31 (Price: 23.28)",2026-04-03 (Price: 13.74),"-40.98%, 1.6 year","92.31%, Past 20 years, 13","Monthly, is CONFIRMED on 2024-08-31",Already confirmed,"2026-04-02 (Price: 13.74), 40.98% below",1.6 year,"0, 2022-01-31 (Price: 26.39)",2024-07-31 (Price: 22.13),2024-08-30 (Price: 23.28),610/580/579 days,37.91% below/40.98% below/40.98% below,2022-01-31 (Price: 26.39)/2024-08-31 (Price: 19.384),32.46%/12.69%/24.68%,"3.67%, 58.28%",1.3 year/5 months/8.6 months,2026-07-09/2025-04-05/2025-09-08,7.23%,5.09%,2.14%,0.0,0.27,24.9794/29.0255/25.15/24.21/31.8515/41.1179/No EMA 200 Target,15.54/16.315/20.4002/13.0115/No F-Track Level/No F-Track Level/18.98,90.43%/94/11 months (Across ALL Assets),65.48%/197/9.4 months (Across ALL Assets),22.29
"USO, Long, 2024-07-07 (Price: 81.31)",2026-03-29 (Price: 124.2),"52.75%, 1.8 year","77.78%, Past 10 years, 18","Weekly, is CONFIRMED on 2024-07-05",Already confirmed,"2026-04-02 (Price: 137.92), 69.62% above",1.8 year,"0, 2018-05-27 (Price: 117.92)",2024-06-23 (Price: 78.65),2024-07-05 (Price: 81.31),648/636/634 days,75.36% above/69.62% above/69.62% above,2018-05-27 (Price: 117.92)/2024-07-07 (Price: 78.0488),54.02%/0.56%/19.47%,"70.35%, 78.81%",1.8 year/1.2 month/7.5 months,2027-01-31/2024-08-28/2025-05-28,4.64%,-4.75%,9.39%,0.0,-0.13,No Target/97.1411/103.28/105.92/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,73.02/44.03/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/74.58,91.3%/161/4.7 months (Across ALL Assets),74.55%/389/4 months (Across ALL Assets),80.21
"SLV, Long, 2024-06-30 (Price: 26.57)",2026-04-03 (Price: 65.79),"147.61%, 1.8 year","100.0%, Past 19 years, 4","Quarterly, is CONFIRMED on 2024-06-30",Already confirmed,"2026-04-02 (Price: 65.79), 147.61% above",1.8 year,"0, 2021-03-31 (Price: 27.98)",2024-03-31 (Price: 22.75),2024-06-13 (Price: 26.43),732/658/641 days,189.19% above/148.92% above/147.61% above,2021-03-31 (Price: 27.98)/2024-06-30 (Price: 22.1444),72.45%/72.45%/72.45%,"-0.0%, 28.77%",4.8 years/4.8 years/4.8 years,2031-05-07 (Max),9.33%,6.61%,2.72%,0.0,0.32,34.9289/45.82/27.42/27.685/47.5817/54.635/No EMA 200 Target,17.5/17.21/25.9024/No stop loss/No F-Track Level/No F-Track Level/22.87,100.0%/18/2.6 years (Across ALL Assets),0.0%/3/4.1 months (Across ALL Assets),23.19
"TSM, Long, 2024-06-30 (Price: 173.81)",2026-04-03 (Price: 339.04),"95.06%, 1.8 year","71.43%, Past 28 years, 7","Quarterly, is CONFIRMED on 2024-06-30",Already confirmed,"2026-04-02 (Price: 339.04), 95.06% above",1.8 year,"0, 2021-03-31 (Price: 142.2)",2024-03-31 (Price: 136.05),2024-05-03 (Price: 141.56),732/699/641 days,149.2% above/139.5% above/95.06% above,2021-03-31 (Price: 142.2)/2024-06-30 (Price: 96.6856),36.83%/26.32%/33.33%,"14.69%, 43.01%",2.3 years/1.3 year/1.9 year,2027-10-10/2026-05-08/2027-03-17,5.52%,11.68%,-6.16%,0.0,0.54,263.0093/231.7409/192.78/No Horizontal Resistance/No Target/217.8566/No EMA 200 Target,68.56/60.035/135.8936/108.0515/No F-Track Level/No F-Track Level/121.39,100.0%/18/2.6 years (Across ALL Assets),0.0%/3/4.1 months (Across ALL Assets),137.29
"JPM, Long, 2024-06-30 (Price: 202.26)",2026-04-03 (Price: 294.6),"45.65%, 1.8 year","100.0%, Past 45 years, 6","Quarterly, is CONFIRMED on 2024-06-30",Already confirmed,"2026-04-02 (Price: 294.6), 45.65% above",1.8 year,"4, 1981-06-30 (Price: 9.3333)",2024-06-30 (Price: 202.26),2024-06-28 (Price: 202.26),641/643/641 days,45.65% above/45.65% above/45.65% above,1981-06-30 (Price: 9.3333)/2024-06-30 (Price: 194.6855),54.11%/10.04%/23.18%,"-0.0%, 36.16%",3.6 years/1.5 year/2 years,2029-08-20/2026-08-21/2027-05-08,5.27%,6.11%,-0.84%,0.0,0.31,237.8375/249.1439/318.02/203.41/208.1524/275.691/No EMA 200 Target,104.5/91.08/186.1217/130.0388/No F-Track Level/No F-Track Level/173.92,100.0%/18/2.6 years (Across ALL Assets),0.0%/3/4.1 months (Across ALL Assets),199.99
"TSM, Long, 2024-03-31 (Price: 136.05)",2026-04-03 (Price: 339.04),"149.2%, 2 years","71.43%, Past 28 years, 7","Quarterly, is CONFIRMED on 2024-03-31",Already confirmed,"2026-04-02 (Price: 339.04), 149.2% above",2 years,"0, 2021-03-31 (Price: 142.2)",2024-03-31 (Price: 136.05),2024-03-28 (Price: 136.05),732/735/732 days,149.2% above/149.2% above/149.2% above,2021-03-31 (Price: 142.2)/2024-03-31 (Price: 100.1867),36.83%/26.32%/33.33%,"14.69%, 43.01%",2.3 years/1.3 year/1.9 year,2027-07-11/2026-02-06/2026-12-16,5.52%,11.68%,-6.16%,0.0,0.54,205.8709/181.3955/139.74/143.6/No Target/169.1372/No EMA 200 Target,68.56/60.035/108.0515/85.2377/No F-Track Level/No F-Track Level/104.41,100.0%/18/2.6 years (Across ALL Assets),0.0%/3/4.1 months (Across ALL Assets),102.25
