Function,Strategy,Interval,Signal Type,Total Analysed Trades,Win Percentage,Holding Period (days) (Max./Min./Avg.),Profit [%] (Best/Worst/Avg.),Avg Backtested Win Rate [%],Avg Backtested Holding Period (days),Percentage of Open Trades
Latest Performance,FRACTAL TRACK,Weekly,Short,6,50.0%,84 days/14 days/32 days,6.89%/-12.13%/-3.0%,85.69%,24 days,0.0%
Latest Performance,FRACTAL TRACK,Daily,Short,56,48.21%,55 days/1 days/7 days,7.74%/-12.47%/-0.47%,89.16%,7 days,0.0%
Latest Performance,FRACTAL TRACK,Quarterly,Short,1,0.0%,90 days/90 days/90 days,-2.31%/-2.31%/-2.31%,85.71%,105 days,100.0%
Latest Performance,OSCILLATOR DELTA,Daily,Long,151,68.21%,333 days/0 days/44 days,17.78%/-15.53%/1.44%,80.94%,40 days,0.0%
Latest Performance,OSCILLATOR DELTA,Daily,Short,18,83.33%,17 days/1 days/4 days,6.35%/-3.14%/0.54%,87.28%,4 days,0.0%
Latest Performance,PULSEGAUGE,Weekly,Long,49,73.47%,589 days/9 days/155 days,46.21%/-30.33%/12.52%,83.0%,140 days,0.0%
Latest Performance,PULSEGAUGE,Weekly,Short,8,75.0%,69 days/49 days/55 days,6.76%/-6.96%/1.5%,80.57%,63 days,0.0%
Latest Performance,SIGMASHELL,Daily,Long,121,85.95%,313 days/30 days/73 days,49.99%/-34.38%/9.33%,84.77%,72 days,0.83%
Latest Performance,TRENDPULSE,Weekly,Long,129,95.35%,414 days/19 days/94 days,59.52%/-21.75%/8.78%,88.77%,77 days,0.0%
Latest Performance,TRENDPULSE,Monthly,Long,53,92.45%,1283 days/107 days/286 days,195.86%/-57.97%/27.02%,87.34%,225 days,1.89%
Latest Performance,TRENDPULSE,Daily,Long,298,88.26%,219 days/3 days/30 days,39.76%/-21.83%/3.24%,88.5%,20 days,0.0%
Latest Performance,TRENDPULSE,Quarterly,Long,15,86.67%,1435 days/325 days/609 days,124.5%/-46.51%/39.58%,93.41%,535 days,6.67%
Latest Performance,TRENDPULSE,Monthly,Short,1,100.0%,281 days/281 days/281 days,6.25%/6.25%/6.25%,90.0%,189 days,0.0%
Latest Performance,TRENDPULSE,Quarterly,Short,1,100.0%,415 days/415 days/415 days,11.17%/11.17%/11.17%,100.0%,406 days,100.0%
