Entry Date,Entry Price,Exit Date,Exit Price,Divergence Start Date,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Type,Signal Open Price
2024-06-30,197.88,2024-10-20,220.7,2024-06-23,Buy,16 Weeks,11.53%,Rise by 120.45%,902.02%,Normal Case,
2024-07-21,239.2,2024-10-20,220.7,2024-07-14,Buy,13 Weeks,-7.73%,Rise by -11.9%,894.29%,Normal Case,
2024-07-28,219.8,2024-10-20,220.7,2024-07-07,Buy,12 Weeks,0.41%,Rise by 98.47%,894.7%,Normal Case,
2024-09-08,210.73,2025-01-05,410.44,2024-09-01,Buy,17 Weeks,94.77%,Rise by 107.01%,989.47%,Normal Case,
2024-11-03,248.98,2025-01-05,410.44,2024-10-27,Buy,9 Weeks,64.85%,Rise by 40.57%,1054.32%,Normal Case,
2024-12-22,421.06,2025-06-15,325.31,2024-12-15,Buy,25 Weeks,-22.74%,Rise by -14.12%,1031.58%,Normal Case,
2025-01-12,394.74,2025-06-15,325.31,2025-01-05,Buy,22 Weeks,-17.59%,Rise by -25.78%,1013.99%,Normal Case,
2025-01-19,426.5,2025-06-15,325.31,2025-01-12,Buy,21 Weeks,-23.73%,Rise by -38.41%,990.26%,Normal Case,
2025-03-30,263.55,2025-06-15,325.31,2025-03-23,Buy,11 Weeks,23.43%,Rise by 32.79%,1013.7%,Normal Case,
2025-06-22,322.16,2025-10-19,439.31,2025-06-15,Buy,17 Weeks,36.36%,Rise by 36.7%,1050.06%,Normal Case,
2025-06-29,323.63,2025-10-19,439.31,2025-06-22,Buy,16 Weeks,35.74%,Rise by 36.08%,1085.81%,Normal Case,
2025-08-24,340.01,2025-08-24,340.01,2025-08-10,Buy,0 Weeks,0.0%,Rise by 0%,1085.81%,Normal Case,
2025-08-31,333.87,2025-08-31,333.87,2025-08-17,Buy,0 Weeks,0.0%,Rise by 0%,1085.81%,Normal Case,
2025-10-19,439.31,2025-10-19,439.31,2016-05-01,Buy,0 Weeks,0.0%,Rise by 0%,1085.81%,Tangent Case,
2025-10-19,439.31,2025-10-19,439.31,2025-10-05,Buy,0 Weeks,0.0%,Rise by 0%,1085.81%,Normal Case,
