Entry Date,Entry Price,Exit Date,Exit Price,Divergence Start Date,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Type,Signal Open Price
2020-06-28,54.18,2020-10-11,61.15,2020-06-07,Buy,15 Weeks,12.86%,Rise by 12.86%,169.46%,Normal Case,
2020-07-05,55.94,2020-10-11,61.15,2020-06-28,Buy,14 Weeks,9.31%,Rise by 9.31%,178.77%,Normal Case,
2020-09-06,55.73,2021-01-10,63.38,2020-08-23,Buy,18 Weeks,13.73%,Rise by 16.74%,192.5%,Normal Case,
2020-09-20,59.75,2021-01-10,63.38,2020-09-13,Buy,16 Weeks,6.08%,Rise by 8.89%,198.57%,Normal Case,
2020-12-27,64.96,2021-03-28,70.25,2020-12-20,Buy,13 Weeks,8.14%,Rise by 39.13%,206.72%,Normal Case,
2021-01-31,60.43,2021-05-30,78.74,2021-01-24,Buy,17 Weeks,30.3%,Rise by 49.56%,237.02%,Normal Case,
2021-02-28,64.51,2021-05-30,78.74,2021-02-21,Buy,13 Weeks,22.06%,Rise by 40.1%,259.08%,Normal Case,
2021-03-07,69.97,2021-05-30,78.74,2021-02-28,Buy,12 Weeks,12.53%,Rise by 29.17%,271.61%,Normal Case,
2021-05-09,80.4,2021-08-08,89.52,2021-05-02,Buy,13 Weeks,11.34%,Rise by 12.41%,282.95%,Normal Case,
2021-05-16,78.89,2021-08-08,89.52,2021-05-09,Buy,12 Weeks,13.47%,Rise by 14.56%,296.43%,Normal Case,
2021-07-25,87.69,2021-11-14,93.54,2021-07-18,Buy,16 Weeks,6.67%,Rise by 12.04%,303.1%,Normal Case,
2021-08-22,88.94,2021-11-14,93.54,2021-08-08,Buy,12 Weeks,5.17%,Rise by 10.47%,308.27%,Normal Case,
2021-09-26,89.94,2021-12-26,89.72,2021-09-19,Buy,13 Weeks,-0.24%,Rise by 14.11%,308.03%,Normal Case,
2021-10-03,89.74,2021-12-26,89.72,2021-09-26,Buy,12 Weeks,-0.02%,Rise by 14.36%,308.0%,Normal Case,
2021-10-10,94.39,2021-12-26,89.72,2021-10-03,Buy,11 Weeks,-4.95%,Rise by 8.73%,303.06%,Normal Case,
2021-12-26,89.72,2022-04-24,76.21,2021-12-12,Buy,17 Weeks,-15.06%,Rise by -11.11%,288.0%,Normal Case,
2022-01-16,87.69,2022-04-24,76.21,2022-01-09,Buy,14 Weeks,-13.09%,Rise by -12.77%,274.91%,Normal Case,
2022-03-06,76.49,2022-09-04,74.68,2022-02-20,Buy,26 Weeks,-2.37%,Rise by -10.28%,272.54%,Normal Case,
2022-03-20,81.68,2022-09-04,74.68,2022-03-06,Buy,24 Weeks,-8.57%,Rise by -11.25%,263.97%,Normal Case,
2022-05-08,72.49,2022-09-04,74.68,2022-02-27,Buy,17 Weeks,3.02%,Rise by 9.19%,266.99%,Local Extrema Case,
2022-07-03,70.87,2022-09-04,74.68,2022-06-12,Buy,9 Weeks,5.38%,Rise by -13.83%,272.37%,Normal Case,
2022-07-17,70.74,2023-01-01,81.74,2022-07-03,Buy,24 Weeks,15.55%,Rise by -13.67%,287.92%,Normal Case,
2022-09-25,64.55,2023-01-01,81.74,2022-06-19,Buy,14 Weeks,26.63%,Rise by 29.12%,314.55%,Local Extrema Case,
2022-10-16,64.31,2023-01-01,81.74,2022-10-09,Buy,11 Weeks,27.1%,Rise by 29.61%,341.65%,Normal Case,
2022-11-06,76.0,2023-02-19,87.28,2022-10-30,Buy,15 Weeks,14.84%,Rise by 17.92%,356.49%,Normal Case,
2022-12-18,79.58,2023-02-19,87.28,2022-12-11,Buy,9 Weeks,9.68%,Rise by 12.62%,366.17%,Normal Case,
2023-01-01,81.74,2023-07-02,119.09,2022-12-18,Buy,26 Weeks,45.69%,Rise by 53.49%,411.86%,Normal Case,
2023-02-19,87.28,2023-07-02,119.09,2023-02-12,Buy,19 Weeks,36.45%,Rise by 43.74%,448.31%,Normal Case,
2023-04-30,94.72,2023-07-02,119.09,2023-04-16,Buy,9 Weeks,25.73%,Rise by 32.45%,474.04%,Normal Case,
2023-05-07,96.97,2023-10-01,105.92,2023-04-30,Buy,21 Weeks,9.23%,Rise by 30.27%,483.27%,Normal Case,
