Entry Date,Entry Price,Exit Date,Exit Price,Divergence Start Date,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Type,Signal Open Price
2021-03-07,107.955,2021-07-18,109.778,2021-02-28,Buy,19 Weeks,1.69%,Rise by 3.35%,66.35%,Normal Case,
2021-03-14,108.555,2021-07-18,109.778,2021-02-21,Buy,18 Weeks,1.13%,Rise by 2.78%,67.48%,Normal Case,
2021-05-09,109.05,2021-07-18,109.778,2021-05-02,Buy,10 Weeks,0.67%,Rise by 2.31%,68.15%,Normal Case,
2021-05-16,109.516,2021-07-18,109.778,2021-05-09,Buy,9 Weeks,0.24%,Rise by 1.88%,68.39%,Normal Case,
2021-06-06,110.266,2021-11-07,113.837,2021-05-30,Buy,22 Weeks,3.24%,Rise by 4.36%,71.63%,Normal Case,
2021-06-20,110.325,2021-11-07,113.837,2021-06-13,Buy,20 Weeks,3.18%,Rise by 4.3%,74.81%,Normal Case,
2021-08-22,109.768,2021-11-07,113.837,2021-08-08,Buy,11 Weeks,3.71%,Rise by 4.83%,78.52%,Normal Case,
2021-09-12,109.781,2021-12-12,113.448,2021-09-05,Buy,13 Weeks,3.34%,Rise by 4.82%,81.86%,Normal Case,
2021-09-26,110.326,2021-12-12,113.448,2021-09-19,Buy,11 Weeks,2.83%,Rise by 4.3%,84.69%,Normal Case,
2021-10-03,111.461,2021-12-12,113.448,2021-09-26,Buy,10 Weeks,1.78%,Rise by 3.24%,86.47%,Normal Case,
2021-10-10,111.662,2021-12-12,113.448,2021-10-03,Buy,9 Weeks,1.6%,Rise by 3.05%,88.07%,Normal Case,
2021-11-28,115.069,2022-05-29,127.045,2021-11-14,Buy,26 Weeks,10.41%,Rise by 13.68%,98.48%,Normal Case,
2021-12-26,114.458,2022-05-29,127.045,2021-12-19,Buy,22 Weeks,11.0%,Rise by 14.29%,109.47%,Normal Case,
2022-01-09,115.865,2022-05-29,127.045,2022-01-02,Buy,20 Weeks,9.65%,Rise by 12.9%,119.12%,Normal Case,
2022-01-23,113.993,2022-05-29,127.045,2022-01-16,Buy,18 Weeks,11.45%,Rise by 14.75%,130.57%,Normal Case,
2022-02-13,116.047,2022-05-29,127.045,2021-12-05,Buy,15 Weeks,9.48%,Rise by 12.72%,140.05%,Local Extrema Case,
2022-02-13,116.047,2022-05-29,127.045,2022-02-06,Buy,15 Weeks,9.48%,Rise by 12.72%,149.53%,Normal Case,
2022-03-13,116.179,2022-05-29,127.045,2022-03-06,Buy,11 Weeks,9.35%,Rise by 12.59%,158.88%,Normal Case,
2022-04-10,124.096,2022-07-31,134.397,2022-04-03,Buy,16 Weeks,8.3%,Rise by 11.98%,167.18%,Normal Case,
