Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),SignalType,Signal Open Price,Signal First Origination Date
FRACTAL TRACK,"TFII.TO, Long, 2025-10-31 (Price: 126.04)",No Exit Yet,"0.0%, 0 days","90.0%, Past 25 years, 10","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-12-19 (Price: 144.0100), 14.26% above",0 days,No Information,No Information,No Information,"50% (Price: 116.97), 7.75% above, Upmove Bounce Back","2005-10-31 (Price: 13.01), 2024-04-30 (Price: 220.93)",No Information,303.95%/7.43%/90.09%,"39.0%, 80.29%",1738 days/239 days/934 days,2032-09-21/2026-10-12/2029-07-14,8.14%,12.86%,-4.72%,0.55,0.45,151.2984/239.5894/250.79/219.9933/223.9051/280.6304,111.42/102.925/113.6809/104.714/248.934/266.1435,83.72%/43/1335 days (Across ALL Assets),70.54%/112/343 days (Across ALL Assets),entry,122.12,2025-10-14
TRENDPULSE,"PPH, Long, 2025-10-31 (Price: 92.54)",No Exit Yet,"6.2%, 14 days","81.48%, Past 20 years, 27","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-12-19 (Price: 102.1700), 10.41% above",14 days,No Information,No Information,No Information,No Information,No Information,8.76% above/6.2% above/6.2% above,15.31%/0.84%/7.86%,"30.19%, 39.01%",1129 days/106 days/305 days,,1.99%,2.01%,-0.01%,0.18,-0.1,,,92.45%/53/286 days (Across ALL Assets),73.83%/107/181 days (Across ALL Assets),entry,90.84,2025-10-14
FRACTAL TRACK,"GDX, Short, 2025-10-31 (Price: 72.06)",No Exit Yet,"-0.0%, 0 days","86.36%, Past 19 years, 22","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-12-19 (Price: 87.7900), 21.83% above",0 days,No Information,No Information,No Information,"23.66% (Price: 71.0194), 1.47% above, Upmove Break Below","2023-10-31 (Price: 25.62), 2025-10-31 (Price: 85.09)",No Information,18.82%/3.24%/8.48%,"15.04%, 19.79%",65 days/20 days/33 days,2026-02-02/2025-11-28/2025-12-17,11.13%,5.4%,5.73%,0.63,0.15,67.2248/65.9493/36.38/25.645/50.0225/36.1563,76.4/25.645/50.0225/36.1563/68.7859/58.7664,71.43%/7/46 days (Across ALL Assets),50.0%/20/69 days (Across ALL Assets),entry,77.11,2025-10-27
FRACTAL TRACK,"CNQ.TO, Long, 2025-10-31 (Price: 44.87)",No Exit Yet,"0.0%, 0 days","91.67%, Past 52 years, 24","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-12-19 (Price: 43.9900), 1.96% below",0 days,No Information,No Information,No Information,"38.2% (Price: 41.6298), 7.78% above, Upmove Bounce Back","2017-07-31 (Price: 17.5808), 2024-04-30 (Price: 56.495)",No Information,1389.83%/6.72%/224.83%,"41.8%, 61.82%",5502 days/239 days/1465 days,2047-08-26/2026-10-12/2031-08-22,13.14%,14.1%,-0.96%,0.31,0.49,47.0372/145.7512/68.22/51.51/57.5622/59.9244,39.56/34.9317/44.0597/41.1349/61.5996/64.7366,83.72%/43/1335 days (Across ALL Assets),70.54%/112/343 days (Across ALL Assets),entry,44.4,2025-10-14
TRENDPULSE,"TSM, Long, 2025-10-31 (Price: 300.43)",No Exit Yet,"-7.63%, 14 days","96.55%, Past 20 years, 29","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-12-19 (Price: 288.9500), 3.82% below",14 days,No Information,No Information,No Information,No Information,No Information,7.63% below/7.63% below/7.63% below,62.44%/5.05%/21.09%,"28.26%, 49.81%",392 days/107 days/247 days,,11.28%,15.19%,-3.91%,0.91,0.52,,,92.45%/53/286 days (Across ALL Assets),73.83%/107/181 days (Across ALL Assets),entry,278.44,2025-10-14
FRACTAL TRACK,"PFE, Long, 2025-10-31 (Price: 24.65)",No Exit Yet,"0.0%, 0 days","78.57%, Past 48 years, 14","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 20.92 prior to 2025-12-31,"2025-12-19 (Price: 25.1900), 2.19% above",0 days,No Information,No Information,No Information,"78.6% (Price: 20.9228), 17.81% above, Upmove Bounce Back","2005-12-31 (Price: 19.2315), 2006-12-31 (Price: 27.1347)",No Information,1467.39%/5.85%/255.06%,"32.45%, 71.63%",8349 days/718 days/3574 days,2058-12-09/2028-09-04/2040-01-02,6.44%,6.41%,0.03%,0.46,0.21,28.2982/87.5223/29.39/55.39/66.4624/71.5868,24.24/23.345/22.7912/20.6368/71.3609/77.2918,88.89%/9/1658 days (Across ALL Assets),71.43%/14/376 days (Across ALL Assets),entry,25.97,2025-10-14
TRENDPULSE,"GOOG, Long, 2025-10-31 (Price: 281.82)",No Exit Yet,"0.0%, 0 days","85.71%, Past 20 years, 7","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-12-19 (Price: 308.6100), 9.51% above",0 days,No Information,No Information,No Information,No Information,No Information,15.71% above/0.0% below/0.0% below,39.1%/1.54%/23.19%,"3.21%, 17.45%",412 days/76 days/164 days,2027-06-19/2026-02-18/2026-06-25,11.85%,23.51%,-11.66%,1.08,0.83,339.3958/347.1741/402.28/No Horizontal Resistance/306.4481/330.6546,156.23/84.6567/243.1061/191.2921/242.6036/212.2906,90.62%/32/267 days (Across ALL Assets),76.7%/103/188 days (Across ALL Assets),entry,241.18,2025-10-14
TRENDPULSE,"^NZ50, Long, 2025-10-31 (Price: 13548.3203)",No Exit Yet,"-1.86%, 14 days","83.33%, Past 20 years, 12","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-12-19 (Price: 13333.4004), 1.59% below",14 days,No Information,No Information,No Information,No Information,No Information,1.86% below/1.86% below/1.86% below,16.11%/2.05%/8.79%,"10.24%, 18.13%",304 days/130 days/205 days,,6.21%,8.68%,-2.47%,0.51,0.45,,,92.45%/53/286 days (Across ALL Assets),73.83%/107/181 days (Across ALL Assets),entry,13292.3604,2025-10-31
TRENDPULSE,"QQQ, Long, 2025-10-31 (Price: 629.07)",No Exit Yet,"-6.9%, 14 days","100.0%, Past 20 years, 20","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-12-19 (Price: 617.0500), 1.91% below",14 days,No Information,No Information,No Information,No Information,No Information,2.45% below/6.9% below/6.9% below,26.83%/5.89%/12.63%,"-0.0%, 33.07%",673 days/107 days/230 days,,11.42%,9.45%,1.97%,2.06,0.36,,,92.45%/53/286 days (Across ALL Assets),73.83%/107/181 days (Across ALL Assets),entry,597.17,2025-10-14
TRENDPULSE,"FRW.NZ, Long, 2025-10-31 (Price: 14.72)",No Exit Yet,"-5.5%, 8 days","95.65%, Past 20 years, 23","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-12-19 (Price: 14.0000), 4.89% below",8 days,No Information,No Information,No Information,No Information,No Information,14.39% above/5.5% below/5.5% below,25.1%/4.41%/14.42%,"3.66%, 17.71%",501 days/86 days/235 days,2027-10-26/2026-03-04/2026-10-06,10.04%,9.85%,0.19%,1.67,0.39,15.8122/16.8426/18.51/No Horizontal Resistance/16.2179/21.849,7.7/7.405/11.0078/7.8689/No F-Track Level/No F-Track Level,92.45%/53/286 days (Across ALL Assets),73.83%/107/181 days (Across ALL Assets),entry,13.7,2025-10-31
FRACTAL TRACK,"LYFT, Short, 2025-10-31 (Price: 20.46)",No Exit Yet,"-0.0%, 0 days","88.73%, Past 5 years, 71","Daily, is CONFIRMED on 2025-10-31",Already confirmed,"2025-12-19 (Price: 19.4200), 5.08% below",0 days,No Information,No Information,No Information,"50% (Price: 21.1775), 3.39% below, Downmove Bounce Back","2025-10-31 (Price: 20.635), 2025-10-31 (Price: 19.9)",No Information,19.27%/0.06%/4.76%,"16.51%, 19.27%",10 days/1 days/3 days,2025-11-14/2025-11-01/2025-11-04,24.73%,5.1%,19.63%,0.25,0.15,19.0442/19.4861/20.02/8.8875/No F-Stack Support/No F-Stack Support,20.64/8.8875/No F-Stack Support/No F-Stack Support/20.2114/20.943,48.72%/117/7 days (Across ALL Assets),39.83%/118/25 days (Across ALL Assets),entry,19.92,2025-10-10
OSCILLATOR DELTA,"SPOT, Long, 2025-10-31 (Price: 655.04)",No Exit Yet,"0.0%, 0 days","76.47%, Past 6 years, 17","Daily, is Confirmed on 2025-10-31",No Cancellation Possible,"2025-12-19 (Price: 582.1600), 11.13% below",0 days,No Information,No Information,No Information,No Information,No Information,No Information,20.64%/5.12%/8.42%,"12.1%, 16.97%",34 days/2 days/13 days,2025-12-19/2025-11-02/2025-11-18,14.8%,31.59%,-16.79%,0.4,0.92,724.0812/710.1944/694.34/No Horizontal Resistance/781.2452/847.0387,No Recent Minima/118.6/603.8196/527.3045/228.7542/223.4772,76.92%/78/41 days (Across ALL Assets),64.14%/304/46 days (Across ALL Assets),entry,661.88,2025-10-21
FRACTAL TRACK,"WPM, Short, 2025-10-31 (Price: 96.52)",No Exit Yet,"-0.0%, 0 days","87.5%, Past 20 years, 24","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-12-19 (Price: 119.7000), 24.02% above",0 days,No Information,No Information,No Information,"23.66% (Price: 96.3808), 0.14% above, Upmove Break Below","2023-10-31 (Price: 38.37), 2025-10-31 (Price: 114.36)",No Information,24.39%/3.3%/10.76%,"20.59%, 24.39%",65 days/20 days/29 days,2026-02-02/2025-11-28/2025-12-12,13.82%,5.4%,8.42%,0.5,0.59,102.7938/86.1344/50.93/38.3375/95.3086/87.2909,111.84/38.3375/95.3086/87.2909/94.0739/81.6073,71.43%/7/46 days (Across ALL Assets),50.0%/20/69 days (Across ALL Assets),entry,113.0,2025-10-13
TRENDPULSE,"BNS.TO, Long, 2025-10-31 (Price: 91.99)",No Exit Yet,"1.74%, 14 days","88.24%, Past 20 years, 17","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-12-19 (Price: 100.1200), 8.84% above",14 days,No Information,No Information,No Information,No Information,No Information,9.12% above/1.74% above/1.74% above,24.83%/3.08%/11.43%,"30.99%, 38.87%",719 days/129 days/282 days,,4.31%,6.33%,-2.02%,0.35,0.21,,,92.45%/53/286 days (Across ALL Assets),73.83%/107/181 days (Across ALL Assets),entry,90.0,2025-10-15
FRACTAL TRACK,"BYDDY, Short, 2025-10-31 (Price: 12.94)",No Exit Yet,"-0.0%, 0 days","88.89%, Past 15 years, 18","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-12-19 (Price: 12.0100), 7.19% below",0 days,No Information,No Information,No Information,"88.6% (Price: 13.3457), 3.04% below, Downmove Bounce Back","2025-10-31 (Price: 14.58), 2025-10-31 (Price: 12.77)",No Information,35.45%/3.52%/13.28%,"29.22%, 35.45%",108 days/21 days/35 days,2026-04-05/2025-11-30/2025-12-20,15.98%,5.4%,10.58%,0.53,0.4,13.0267/11.2216/11.85/7.1075/10.1095/6.9107,16.89/7.1075/10.1095/6.9107/12.152/10.0049,71.43%/7/46 days (Across ALL Assets),50.0%/20/69 days (Across ALL Assets),entry,14.08,2025-10-14
FRACTAL TRACK,"BRK-B, Long, 2025-10-31 (Price: 477.54)",No Exit Yet,"-0.39%, 1 days","92.31%, Past 29 years, 26","Monthly, was CONFIRMED on 2025-10-31",Already confirmed,"2025-12-19 (Price: 494.5300), 3.56% above",1 days,No Information,No Information,No Information,"23.66% (Price: 451.5539), 5.34% above, Upmove Bounce Back","2020-03-31 (Price: 159.5), 2025-05-31 (Price: 542.07)",No Information,204.24%/9.94%/55.24%,"11.32%, 45.86%",3131 days/238 days/873 days,2038-03-31/2026-10-10/2029-04-17,5.06%,11.04%,-5.98%,0.48,0.46,510.2992/741.3331/707.08/488.245/630.85/709.9376,267.02/268.082/449.7662/405.99/No F-Track Level/No F-Track Level,84.44%/45/1293 days (Across ALL Assets),76.0%/100/206 days (Across ALL Assets),entry,502.5,2025-10-31
FRACTAL TRACK,"EEM, Long, 2025-10-31 (Price: 55.3)",No Exit Yet,"0.0%, 0 days","80.0%, Past 22 years, 5","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 38.19 prior to 2025-12-31,"2025-12-19 (Price: 53.7200), 2.86% below",0 days,No Information,No Information,No Information,"88.6% (Price: 38.6828), 42.96% above, Upmove Bounce Back","2013-06-30 (Price: 36.16), 2021-03-31 (Price: 58.29)",No Information,14.61%/14.61%/14.61%,"5.22%, 19.1%",650 days/650 days/650 days,2028-05-29/2028-05-29/2028-05-29,3.9%,6.2%,-2.3%,0.26,0.2,54.3046/63.3793/68.58/No Horizontal Resistance/59.1317/64.643,34.88/36.64/54.2403/251.522/54.7105/55.6355,88.89%/9/1658 days (Across ALL Assets),71.43%/14/376 days (Across ALL Assets),entry,53.59,2025-10-14
TRENDPULSE,"VGT, Long, 2025-10-31 (Price: 793.21)",No Exit Yet,"0.0%, 0 days","88.89%, Past 20 years, 9","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-12-19 (Price: 755.5400), 4.75% below",0 days,No Information,No Information,No Information,No Information,No Information,6.24% above/0.0% below/0.0% below,22.53%/3.21%/12.24%,"23.72%, 51.21%",434 days/11 days/193 days,2027-07-21/2025-11-15/2026-08-06,5.93%,12.9%,-6.97%,0.56,0.56,907.115/890.2989/1090.34/No Horizontal Resistance/884.0923/1003.1001,542.38/311.83/671.1312/639.8848/685.0535/610.1187,90.62%/32/267 days (Across ALL Assets),76.7%/103/188 days (Across ALL Assets),entry,743.21,2025-10-31
TRENDPULSE,"XLU, Long, 2025-10-31 (Price: 89.1)",No Exit Yet,"-1.21%, 14 days","90.48%, Past 20 years, 21","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-12-19 (Price: 42.6300), 52.15% below",14 days,No Information,No Information,No Information,No Information,No Information,0.93% above/1.21% below/1.21% below,16.63%/1.39%/9.27%,"27.25%, 40.67%",871 days/107 days/247 days,,5.14%,3.83%,1.3%,0.73,0.04,,,92.45%/53/286 days (Across ALL Assets),73.83%/107/181 days (Across ALL Assets),entry,43.69,2025-10-14
BAND MATRIX,"GBPUSD=X, Long, 2025-10-30 (Price: 1.3195)",No Exit Yet,"-0.31%, 1 days","90.91%, Past 5 years, 11","Daily, was CONFIRMED on 2025-10-30",No Cancellation Possible,"2025-12-20 (Price: 1.3380), 1.40% above",1 days,No Information,No Information,No Information,No Information,No Information,No Information,5.08%/0.79%/2.94%,"10.95%, 16.78%",118 days/22 days/57 days,2026-04-18/2025-11-30/2026-01-20,3.7%,1.15%,2.55%,0.27,-0.35,1.3392/1.3583/1.35/1.4232/2.4421/3.2078,1.32/1.1912/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level,76.32%/76/130 days (Across ALL Assets),76.19%/252/112 days (Across ALL Assets),entry,1.3194,2025-10-30
FRACTAL TRACK,"GLD, Long, 2025-10-30 (Price: 370.13)",No Exit Yet,"-0.54%, 1 days","100.0%, Past 5 years, 20","Daily, was CONFIRMED on 2025-10-30",Already confirmed,"2025-12-19 (Price: 399.0200), 7.81% above",1 days,No Information,No Information,No Information,"23.66% (Price: 363.7476), 1.2% above, Upmove Bounce Back","2024-11-14 (Price: 236.13), 2025-10-20 (Price: 403.3)",No Information,14.47%/1.81%/6.53%,"-0.0%, 10.21%",303 days/38 days/117 days,2027-01-11/2025-12-24/2026-04-17,8.69%,12.55%,-3.86%,0.39,0.64,372.2397/394.2995/470.43/No Horizontal Resistance/424.4974/624.146,363.0/150.8/301.1087/224.8487/No F-Track Level/No F-Track Level,94.12%/289/221 days (Across ALL Assets),52.38%/63/141 days (Across ALL Assets),entry,365.09,2025-10-30
FRACTAL TRACK,"HDB, Short, 2025-10-29 (Price: 36.99)",No Exit Yet,"2.08%, 2 days","89.06%, Past 5 years, 64","Daily, was CONFIRMED on 2025-10-29",Already confirmed,"2025-12-19 (Price: 35.8900), 2.97% below",2 days,No Information,No Information,No Information,"61.8% (Price: 37.5034), 3.42% below, Downmove Bounce Back","2025-10-31 (Price: 36.38), 2025-10-31 (Price: 35.935)",No Information,10.18%/2.24%/4.53%,"10.98%, 10.18%",31 days/1 days/8 days,2025-12-12/2025-10-30/2025-11-09,16.48%,5.1%,11.38%,0.21,0.27,36.0985/35.3144/36.72/25.6925/32.7076/21.1884,37.18/25.6925/32.7076/21.1884/No F-Track Level/No F-Track Level,48.72%/117/7 days (Across ALL Assets),39.83%/118/25 days (Across ALL Assets),entry,36.99,2025-10-29
TRENDPULSE,"BDGI.TO, Long, 2025-10-29 (Price: 72.71)",No Exit Yet,"1.21%, 2 days","82.35%, Past 4 years, 17","Daily, is CONFIRMED on 2025-10-29",Already confirmed,"2025-12-19 (Price: 73.8000), 1.50% above",2 days,No Information,No Information,No Information,No Information,No Information,4.03% above/1.21% above/1.21% above,9.61%/1.3%/4.53%,"16.01%, 27.74%",69 days/4 days/15 days,2026-02-05/2025-11-03/2025-11-19,11.34%,5.2%,6.14%,0.47,0.22,74.8986/76.0038/83.27/No Horizontal Resistance/63.2847/69.0016,56.14/24.32/58.5532/53.241/No F-Track Level/No F-Track Level,88.89%/279/30 days (Across ALL Assets),83.02%/642/28 days (Across ALL Assets),entry,71.25,2025-10-12
TRENDPULSE,"NZDCAD=X, Long, 2025-10-28 (Price: 0.8079)",No Exit Yet,"-0.77%, 3 days","100.0%, Past 4 years, 6","Daily, is CONFIRMED on 2025-10-28",Already confirmed,"2025-12-20 (Price: 0.7942), 1.69% below",3 days,No Information,No Information,No Information,No Information,No Information,0.52% below/0.77% below/0.77% below,2.27%/1.12%/1.36%,"0%, 1.49%",23 days/4 days/8 days,2025-11-30/2025-11-02/2025-11-08,6.68%,-0.32%,7.0%,2.96,-0.57,0.8354/0.8189/0.81/0.9093/1.0924/1.3117,0.8/0.7625/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level,88.89%/279/30 days (Across ALL Assets),83.02%/642/28 days (Across ALL Assets),entry,0.8078,2025-10-28
FRACTAL TRACK,"^VIX, Long, 2025-10-28 (Price: 16.42)",No Exit Yet,"0.0%, 0 days","84.21%, Past 35 years, 19","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 14.12 prior to 2025-10-31,"2025-12-19 (Price: 14.9100), 9.20% below",0 days,No Information,No Information,No Information,"88.6% (Price: 13.8042), 18.95% above, Upmove Bounce Back","1995-11-30 (Price: 10.57), 2022-01-31 (Price: 38.94)",No Information,59.11%/6.01%/26.93%,,935 days/153 days/396 days,2029-07-13/2026-06-06/2027-05-24,5.1%,-1.44%,6.54%,0.33,0.29,16.9931/20.8419/33.44/37.075/60.6267/65.6335,15.36/11.665/15.5549/11.7677/45.6405/49.7582,83.64%/55/1306 days (Across ALL Assets),69.7%/132/363 days (Across ALL Assets),entry,17.28,2025-09-30
FRACTAL TRACK,"GBPSGD=X, Long, 2025-10-28 (Price: 1.7172)",No Exit Yet,"0.0%, 0 days","100.0%, Past 55 years, 6","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 1.7069 prior to 2025-10-31,"2025-12-20 (Price: 1.7283), 0.65% above",0 days,No Information,No Information,No Information,"23.66% (Price: 1.7383), 1.21% below, Upmove Bounce Back","2025-01-31 (Price: 1.6606), 2025-04-30 (Price: 1.7624)",No Information,5.36%/5.36%/5.36%,,782 days/782 days/782 days,2028-12-03/2028-12-03/2028-12-03,4.4%,-2.48%,6.88%,0.41,-0.97,1.6825/1.8092/1.78/1.8874/4.0285/5.5304,1.68/1.6718/No Next Fib Ext Support/No Next Fib Ext Support/1.7681/1.7807,83.64%/55/1306 days (Across ALL Assets),69.7%/132/363 days (Across ALL Assets),entry,1.7342,2025-09-30
FRACTAL TRACK,"DIS, Long, 2025-10-28 (Price: 111.65)",No Exit Yet,"0.0%, 0 days","73.68%, Past 63 years, 19","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 80.1 prior to 2025-12-31,"2025-12-19 (Price: 111.2400), 0.37% below",0 days,No Information,No Information,No Information,"38.2% (Price: 81.5512), 36.91% above, Upmove Bounce Back","2002-09-30 (Price: 13.298), 2024-03-31 (Price: 123.74)",No Information,446.5%/12.97%/114.22%,,4371 days/716 days/1500 days,2043-02-27/2028-08-30/2031-10-09,6.23%,11.61%,-5.38%,0.46,0.39,138.6246/239.1766/177.92/168.455/236.8799/278.4281,81.05/79.415/104.5318/88.4842/134.0652/140.4105,90.0%/10/1207 days (Across ALL Assets),52.17%/23/344 days (Across ALL Assets),entry,114.08,2025-10-14
TRENDPULSE,"SONY, Long, 2025-10-28 (Price: 28.99)",No Exit Yet,"0.0%, 0 days","72.73%, Past 20 years, 11","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 28.79 prior to 2025-10-31,"2025-12-19 (Price: 25.4000), 12.38% below",0 days,No Information,No Information,No Information,No Information,No Information,0.0% below/0.0% below/0.0% below,40.8%/7.34%/22.65%,,390 days/109 days/204 days,2027-05-15/2026-04-03/2026-08-19,4.73%,1.45%,3.28%,0.45,0.09,31.4831/35.5562/35.58/No Horizontal Resistance/33.4728/41.0857,16.47/14.992/23.054/17.23/23.5762/19.4504,72.34%/94/220 days (Across ALL Assets),78.1%/105/179 days (Across ALL Assets),entry,28.79,2025-10-14
TRENDPULSE,"DIA, Long, 2025-10-26 (Price: 472.21)",No Exit Yet,"0.73%, 4 days","100.0%, Past 10 years, 9","Weekly, is CONFIRMED on 2025-10-24",Already confirmed,"2025-12-19 (Price: 481.1500), 1.89% above",4 days,No Information,No Information,No Information,No Information,No Information,3.01% above/0.73% above/0.73% above,6.15%/1.18%/3.37%,"-0.0%, 8.54%",194 days/14 days/87 days,2026-08-02/2025-11-15/2026-03-01,5.84%,9.92%,-4.08%,1.38,0.44,495.3955/488.1235/546.77/No Horizontal Resistance/538.1343/826.9871,454.87/321.6725/359.6128/249.2814/No F-Track Level/No F-Track Level,96.46%/113/86 days (Across ALL Assets),78.15%/270/77 days (Across ALL Assets),entry,463.45,2025-10-26
TRENDPULSE,"ACWX, Long, 2025-10-26 (Price: 66.54)",No Exit Yet,"-0.29%, 4 days","77.78%, Past 10 years, 9","Weekly, is CONFIRMED on 2025-10-24",Already confirmed,"2025-12-19 (Price: 66.4800), 0.09% below",4 days,No Information,No Information,No Information,No Information,No Information,0.29% below/0.29% below/0.29% below,5.27%/2.19%/3.79%,"7.49%, 23.65%",169 days/19 days/65 days,2026-06-27/2025-11-22/2026-01-28,4.24%,2.94%,1.3%,0.41,-0.0,68.4564/69.0619/71.72/No Horizontal Resistance/69.6679/76.9985,51.22/45.07/61.9685/307.3483/No F-Track Level/No F-Track Level,96.46%/113/86 days (Across ALL Assets),78.15%/270/77 days (Across ALL Assets),entry,66.29,2025-10-15
FRACTAL TRACK,"GBPSGD=X, Short, 2025-10-26 (Price: 1.7306)",No Exit Yet,"0.08%, 0 days","91.84%, Past 20 years, 49","Weekly, was CONFIRMED on 2025-10-26",Already confirmed,"2025-12-20 (Price: 1.7283), 0.13% below",0 days,No Information,No Information,No Information,"50% (Price: 1.7346), 0.31% below, Upmove Break Below","2025-04-06 (Price: 1.7308), 2025-08-03 (Price: 1.7255)",No Information,5.75%/0.36%/3.18%,,284 days/4 days/72 days,2026-12-11/2025-10-31/2026-02-07,5.67%,5.4%,0.27%,0.5,-0.86,1.7155/1.6756/1.73/1.6718/No Next Fib Ext Support/No Next Fib Ext Support,1.74/1.6718/No Next Fib Ext Support/No Next Fib Ext Support/No Fib Ret Level/No Fib Ret Level,69.23%/13/22 days (Across ALL Assets),38.1%/21/34 days (Across ALL Assets),entry,1.7357,2025-09-30
FRACTAL TRACK,"ETH-USD, Long, 2025-10-26 (Price: 4157.9893)",No Exit Yet,"0.0%, 0 days","83.33%, Past 10 years, 6","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 3460.2224 prior to 2025-10-31,"2025-12-19 (Price: 2979.1304), 28.35% below",0 days,No Information,No Information,No Information,"38.2% (Price: 3403.7206), 22.16% above, Upmove Bounce Back","2022-06-19 (Price: 896.109), 2025-08-24 (Price: 4953.7329)",No Information,4.78%/4.78%/4.78%,,39 days/39 days/39 days,2025-12-21/2025-12-21/2025-12-21,-6.09%,39.5%,-45.59%,-0.31,1.16,3681.8995/4356.7412/6592.56/4922.7188/4887.278/5344.0381,3984.65/1370.4997/3929.1537/3454.2267/No Fib Ret Level/No Fib Ret Level,84.51%/71/553 days (Across ALL Assets),64.74%/190/227 days (Across ALL Assets),entry,3984.6963,2025-10-19
FRACTAL TRACK,"JETS, Long, 2025-10-26 (Price: 25.54)",No Exit Yet,"-0.23%, 0 days","100.0%, Past 10 years, 10","Weekly, was CONFIRMED on 2025-10-26",Already confirmed,"2025-12-19 (Price: 28.7400), 12.53% above",0 days,No Information,No Information,No Information,"23.66% (Price: 21.3052), 19.6% above, Upmove Bounce Back","2019-09-01 (Price: 27.55), 2023-07-16 (Price: 22.5)",No Information,22.85%/22.85%/22.85%,,229 days/229 days/229 days,2026-09-22/2026-09-22/2026-09-22,7.2%,0.53%,6.67%,0.28,0.06,24.7738/31.3759/28.57/27.1773/No Next Fib Ext/No Next Fib Ext,24.21/14.732/No Next Fib Ext Support/No Next Fib Ext Support/No Fib Ret Level/No Fib Ret Level,84.51%/71/553 days (Across ALL Assets),64.74%/190/227 days (Across ALL Assets),entry,25.01,2025-10-14
FRACTAL TRACK,"^VIX, Short, 2025-10-23 (Price: 17.3)",No Exit Yet,"-0.0%, 0 days","87.5%, Past 35 years, 24","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price > 65.73 prior to 2025-12-31,"2025-12-19 (Price: 14.9100), 13.82% below",0 days,No Information,No Information,No Information,"88.6% (Price: 44.7024), 61.3% below, Upmove Break Below","1997-12-31 (Price: 19.28), 2021-06-30 (Price: 28.93)",No Information,33.76%/3.51%/16.23%,,132 days/64 days/69 days,2026-05-02/2026-01-23/2026-01-30,11.36%,5.5%,5.86%,0.09,0.21,18.4833/14.4922/11.51/11.665/15.5549/11.7677,22.28/11.665/15.5549/11.7677/45.6405/49.7582,No Data (Across ALL Assets),55.56%/18/83 days (Across ALL Assets),entry,17.28,2025-09-30
